t,active_cpu_fog,fog_capacity,pressure,worst_fog_pressure,predicted_pressure,prediction_uncertainty,lstm_fallback_used,dqn_fallback_used_tasks,scale_decision,offload_ratio,offload_reason,tasks_on_fog,tasks_on_cloud,tasks_placed_fog,tasks_placed_cloud,fog_nodes_used_tick,cloud_nodes_used_tick,scale_up_total,scale_down_total,energy_joules_cumul
70,367,415,0.8843373493975903,0.9866666666666667,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,25,8,7,3,2,2,2,1,52984.28342245988
71,225,515,0.4368932038834951,0.9733333333333334,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,20,7,3,3,2,2,2,1,53994.482690683915
72,220,515,0.42718446601941745,0.7333333333333333,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,17,10,7,4,5,2,2,1,54961.58682803263
73,218,515,0.42330097087378643,0.6823529411764706,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,14,15,3,10,3,2,2,1,55917.69096538135
74,221,515,0.429126213592233,0.6705882352941176,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,16,19,5,6,2,2,2,1,56884.03039684772
75,232,515,0.45048543689320386,0.9181818181818182,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,14,12,5,2,2,2,2,1,57848.16014635518
76,215,515,0.4174757281553398,0.9181818181818182,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,15,8,5,1,4,1,2,1,58784.14283703911
77,269,515,0.5223300970873787,0.9181818181818182,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,16,8,4,5,3,2,2,1,59807.441317196724
78,252,515,0.4893203883495146,0.69,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,15,9,6,3,4,2,2,1,60829.56276386151
79,261,515,0.5067961165048543,0.6181818181818182,1.3776024049161428,0.2818264041767559,0,0,up,0.3904446594716222,demand/capacity=1.15,18,8,7,1,3,1,2,1,61863.464959189405
80,236,515,0.458252427184466,0.54,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,20,7,10,5,4,2,2,1,62857.05375738811
81,306,515,0.5941747572815534,0.6941176470588235,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,25,8,9,2,5,2,2,1,63996.62594990148
82,354,515,0.6873786407766991,0.8363636363636363,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,29,8,10,1,5,1,2,1,65202.643962848284
83,278,515,0.5398058252427185,0.6705882352941176,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,23,4,5,1,2,1,2,1,66282.2393751759
84,280,515,0.5436893203883495,0.7684210526315789,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,22,3,6,1,4,1,2,1,67365.43034055726
85,289,515,0.5611650485436893,0.6941176470588235,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,20,4,8,2,4,2,2,1,68464.49774838163
86,390,515,0.7572815533980582,1.0,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,22,4,10,1,6,1,2,1,69731.06262313537
87,356,515,0.6912621359223301,1.0,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,22,2,4,0,2,0,2,1,70934.20644525751
88,304,515,0.5902912621359223,0.9,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,21,1,7,0,3,0,2,1,72037.75133689838
89,387,515,0.7514563106796116,0.88,1.0904804031478548,0.2158576483777426,0,0,none,0.08347820640728054,demand/capacity=0.99,20,3,9,3,4,2,2,1,73306.48142414859
90,439,515,0.8524271844660194,0.9636363636363636,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,25,4,9,1,4,1,3,1,74661.42006754853
91,337,595,0.5663865546218487,0.84,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,24,6,6,4,3,2,3,1,75943.00242752602
92,280,595,0.47058823529411764,0.8272727272727273,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,18,5,3,0,3,0,3,1,77093.58520968194
93,321,595,0.5394957983193277,0.7125,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,16,5,9,3,6,2,3,1,78340.79612299464
94,297,595,0.4991596638655462,0.65,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,19,5,8,1,3,1,3,1,79553.33791866027
95,307,595,0.5159663865546219,0.6375,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,19,6,2,2,2,2,3,1,80783.41647903179
96,261,595,0.43865546218487395,0.825,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,16,3,7,0,5,0,3,1,81929.21756262312
97,291,595,0.4890756302521008,0.825,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,18,5,6,3,4,2,3,1,83130.10688150857
98,286,595,0.48067226890756304,0.825,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,19,4,6,1,3,1,3,1,84332.80903461862
99,231,595,0.38823529411764707,0.77,1.375678777613686,0.2759297571665043,0,0,up,0.34443048290392975,demand/capacity=1.12,17,5,6,2,5,2,3,1,85419.55143540668
100,245,595,0.4117647058823529,0.66,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,18,3,7,1,4,1,3,1,86533.2210807768
101,334,595,0.561344537815126,0.7157894736842105,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,21,4,8,3,5,2,3,1,87804.21249648184
102,279,595,0.4689075630252101,0.7157894736842105,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,20,4,7,1,4,1,3,1,88977.10899240078
103,290,595,0.48739495798319327,0.6727272727272727,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,19,4,7,2,5,2,3,1,90158.79749507458
104,208,595,0.3495798319327731,0.6727272727272727,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,18,3,3,0,1,0,3,1,91211.5057345905
105,204,595,0.34285714285714286,0.7473684210526316,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,15,1,6,0,4,0,3,1,92250.54615817619
106,266,595,0.4470588235294118,0.7473684210526316,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,18,2,8,2,4,2,3,1,93378.54380101323
107,313,595,0.5260504201680672,0.7272727272727273,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,20,3,5,1,5,1,3,1,94599.8413664509
108,376,595,0.6319327731092437,0.99,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,20,3,6,1,3,1,3,1,95918.54024767803
109,265,595,0.44537815126050423,0.99,1.0545725040576037,0.21282637554545966,0,0,none,0.13748658376666745,demand/capacity=1.02,16,2,5,1,2,1,3,1,97056.73311286238
110,322,595,0.5411764705882353,0.8526315789473684,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,19,4,8,3,5,2,3,1,98301.40659301999
111,217,595,0.36470588235294116,0.4266666666666667,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,21,3,6,0,3,0,3,1,99383.3498100197
112,282,595,0.47394957983193275,0.8545454545454545,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,19,1,6,0,4,0,3,1,100554.73441457923
113,344,595,0.5781512605042017,0.8545454545454545,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,20,0,8,0,5,0,3,1,101827.07683647622
114,346,595,0.5815126050420169,0.8545454545454545,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,19,1,3,1,2,1,3,1,103106.04271038559
115,370,595,0.6218487394957983,0.9090909090909091,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,18,7,7,6,4,2,3,1,104431.5851393189
116,289,595,0.4857142857142857,0.9090909090909091,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,13,7,4,0,3,0,3,1,105596.65194905714
117,343,595,0.5764705882352941,0.8636363636363636,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,19,4,9,0,5,0,3,1,106869.08749648185
118,275,595,0.46218487394957986,0.8636363636363636,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,17,0,5,0,3,0,3,1,108023.82799746693
119,356,595,0.5983193277310924,0.8636363636363636,1.151410286356421,0.24113507115358382,0,0,none,0.2641038487916072,demand/capacity=1.08,26,3,12,3,5,2,3,1,109334.29218266254
120,250,595,0.42016806722689076,0.6421052631578947,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,20,7,2,4,1,2,3,1,110457.03176892767
121,279,595,0.4689075630252101,0.8526315789473684,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,19,8,7,2,4,2,3,1,111622.67383197299
122,302,595,0.507563025210084,0.8526315789473684,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,15,6,5,1,3,1,3,1,112831.31589501831
123,340,595,0.5714285714285714,0.8526315789473684,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,21,4,9,1,3,1,3,1,114098.32159442727
124,288,595,0.48403361344537815,0.7727272727272727,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,22,6,8,4,4,2,3,1,115288.38161412893
125,298,595,0.5008403361344538,0.7727272727272727,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,19,8,2,4,1,2,3,1,116474.42692794824
126,319,595,0.5361344537815126,0.8933333333333333,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,17,7,5,0,3,0,3,1,117725.65405994936
127,287,595,0.4823529411764706,0.88,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,18,4,10,0,3,0,3,1,118922.20757106673
128,311,595,0.5226890756302521,0.88,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,22,3,7,3,4,2,3,1,120168.09389952155
129,229,595,0.38487394957983195,0.6545454545454545,1.0574449893306284,0.22795618123501388,0,0,none,0.3087894265677731,demand/capacity=1.10,24,5,9,2,5,2,3,1,121240.64065578386
130,320,595,0.5378151260504201,0.7684210526315789,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,28,4,12,1,6,1,3,1,122474.62974950748
131,264,595,0.4436974789915966,0.6545454545454545,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,22,10,0,8,0,2,3,1,123612.70707852521
132,280,595,0.47058823529411764,0.990909090909091,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,20,13,7,4,3,2,3,1,124762.04042358573
133,239,595,0.4016806722689076,0.9818181818181818,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,16,9,6,0,4,0,3,1,125849.74890937239
134,272,595,0.45714285714285713,0.9818181818181818,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,15,6,2,2,2,2,3,1,126984.45081621167
