t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,arrivals,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,energy_tick,offload_ratio,active_fog_nodes,overloaded,fog_f0_p,fog_f0_load,fog_f0_power,fog_f0_active,fog_f1_p,fog_f1_load,fog_f1_power,fog_f1_active,fog_f2_p,fog_f2_load,fog_f2_power,fog_f2_active,fog_f3_p,fog_f3_load,fog_f3_power,fog_f3_active,fog_f4_p,fog_f4_load,fog_f4_power,fog_f4_active,cloud_c0_load,cloud_c1_load
69,170.33333333333331,185.0,0.9207207207207206,0.4176007224505813,0.24417530645808216,1,10,11,none,0,1,15284.707070707069,280.050505050505,0.9090909090909091,2,0,0.8818181818181816,96.99999999999997,162.27272727272725,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9777777777777779,73.33333333333334,117.77777777777779,1,301.6666666666667,385.3333333333333
70,179.66666666666663,185.0,0.971171171171171,0.45674462893918216,0.26141190432695316,7,3,10,none,0,1,15577.575757575756,292.86868686868684,0.3,2,0,0.9939393939393937,109.3333333333333,179.09090909090907,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9377777777777779,70.33333333333334,113.7777777777778,1,364.6666666666667,465.0
71,176.99999999999997,185.0,0.9567567567567566,0.45674462893918216,0.26141190432695316,4,2,6,none,0,1,15866.848484848484,289.27272727272725,0.3333333333333333,2,0,0.9818181818181815,107.99999999999996,177.27272727272722,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9200000000000002,69.00000000000001,112.00000000000001,1,424.6666666666667,199.0
72,171.66666666666663,185.0,0.9279279279279278,0.45674462893918216,0.26141190432695316,4,7,11,none,0,1,16149.060606060606,282.2121212121212,0.6363636363636364,2,0,0.9969696969696966,109.66666666666663,179.5454545454545,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8266666666666669,62.000000000000014,102.66666666666669,1,442.0,246.66666666666669
73,171.99999999999997,185.0,0.9297297297297296,0.45674462893918216,0.26141190432695316,5,8,13,none,0,1,16431.717171717173,282.65656565656565,0.6153846153846154,2,0,0.9969696969696966,109.66666666666663,179.5454545454545,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8311111111111114,62.33333333333335,103.11111111111114,1,505.66666666666663,296.66666666666674
74,147.66666666666663,185.0,0.798198198198198,0.45674462893918216,0.26141190432695316,9,2,11,none,0,1,16681.191919191922,249.47474747474746,0.18181818181818182,2,0,0.7757575757575753,85.33333333333329,146.36363636363632,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8311111111111114,62.33333333333335,103.11111111111114,1,495.66666666666663,321.66666666666674
75,147.66666666666663,185.0,0.798198198198198,0.4899052490921441,0.2510731520591168,5,2,7,none,0,1,16931.121212121216,249.9292929292929,0.2857142857142857,2,0,0.9121212121212117,100.33333333333329,166.81818181818176,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6311111111111113,47.33333333333335,83.11111111111113,1,309.66666666666663,104.66666666666671
76,163.99999999999997,185.0,0.8864864864864863,0.4899052490921441,0.2510731520591168,6,0,6,none,0,1,17202.9494949495,271.8282828282828,0.0,2,0,0.948484848484848,104.33333333333329,172.2727272727272,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7955555555555558,59.666666666666686,99.55555555555559,1,179.99999999999997,51.333333333333385
77,174.66666666666663,185.0,0.9441441441441439,0.4899052490921441,0.2510731520591168,5,4,9,none,0,1,17489.15151515152,286.20202020202015,0.4444444444444444,2,0,0.9939393939393935,109.33333333333329,179.090909090909,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8711111111111114,65.33333333333336,107.11111111111114,1,219.66666666666663,120.66666666666671
78,170.66666666666663,185.0,0.9225225225225223,0.4899052490921441,0.2510731520591168,2,7,9,none,0,1,17769.9393939394,280.78787878787875,0.7777777777777778,2,0,0.9696969696969692,106.66666666666661,175.45454545454538,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8533333333333337,64.00000000000003,105.33333333333337,1,298.33333333333326,260.33333333333337
79,144.66666666666663,185.0,0.7819819819819818,0.4899052490921441,0.2510731520591168,7,1,8,none,0,1,18015.818181818187,245.87878787878785,0.125,2,0,0.8969696969696965,98.66666666666661,164.54545454545448,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6133333333333337,46.00000000000003,81.33333333333337,1,298.33333333333326,311.6666666666667
80,180.99999999999997,185.0,0.9783783783783783,0.5152713738514149,0.23900388514890963,9,6,15,none,0,1,18310.404040404046,294.58585858585855,0.4,2,0,0.9757575757575754,107.33333333333329,176.36363636363632,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9822222222222224,73.66666666666669,118.22222222222224,1,87.99999999999996,228.00000000000003
81,170.99999999999997,185.0,0.9243243243243242,0.5152713738514149,0.23900388514890963,1,10,11,none,0,1,18591.44444444445,281.04040404040404,0.9090909090909091,2,0,0.9121212121212117,100.33333333333329,166.81818181818176,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9422222222222225,70.66666666666669,114.22222222222226,1,180.3333333333333,332.0
82,170.33333333333331,185.0,0.9207207207207206,0.5152713738514149,0.23900388514890963,9,2,11,none,0,1,18871.77777777778,280.33333333333326,0.18181818181818182,2,0,0.9666666666666662,106.33333333333329,174.99999999999994,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8533333333333335,64.00000000000001,105.33333333333334,1,231.66666666666663,332.0
83,151.99999999999997,185.0,0.8216216216216214,0.5152713738514149,0.23900388514890963,5,1,6,none,0,1,19127.28282828283,255.50505050505043,0.16666666666666666,2,0,0.851515151515151,93.66666666666661,157.72727272727263,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.777777777777778,58.33333333333335,97.7777777777778,1,223.33333333333331,122.66666666666669
84,165.99999999999997,185.0,0.8972972972972971,0.5152713738514149,0.23900388514890963,4,3,7,none,0,1,19401.78787878788,274.50505050505046,0.42857142857142855,2,0,0.9515151515151511,104.66666666666661,172.72727272727266,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.817777777777778,61.33333333333335,101.7777777777778,1,223.66666666666663,117.33333333333334
85,179.99999999999997,185.0,0.9729729729729728,0.5447943168057446,0.2215146526107789,5,5,10,none,0,1,19695.070707070707,293.28282828282823,0.5,2,0,0.9848484848484844,108.33333333333329,177.72727272727266,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,365.33333333333326,84.0
86,177.99999999999997,185.0,0.962162162162162,0.5447943168057446,0.2215146526107789,7,4,11,none,0,1,19985.62626262626,290.55555555555554,0.36363636363636365,2,0,0.9666666666666662,106.33333333333329,174.99999999999994,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9555555555555558,71.66666666666669,115.55555555555559,1,399.33333333333326,162.0
