t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,offload_ratio,fog_f0_p,fog_f0_load,fog_f0_power,fog_f1_p,fog_f1_load,fog_f1_power,fog_f2_p,fog_f2_load,fog_f2_power,fog_f3_p,fog_f3_load,fog_f3_power,fog_f4_p,fog_f4_load,fog_f4_power,cloud_c0_load,cloud_c1_load
81,80.99999999999999,110.0,0.7363636363636362,0.5097304790693042,0.29116587985919534,4,7,none,0,2,12774.747474747473,0.6363636363636364,0.9757575757575756,107.33333333333331,176.36363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0000000000005,0.0
82,76.66666666666664,110.0,0.6969696969696968,0.5097304790693042,0.29116587985919534,5,6,none,0,2,12951.565656565655,0.5454545454545454,0.9787878787878785,107.66666666666664,176.81818181818178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.3333333333337,0.0
83,57.333333333333314,110.0,0.521212121212121,0.5097304790693042,0.29116587985919534,4,2,none,0,2,13127.929292929291,0.3333333333333333,0.9757575757575756,107.33333333333331,176.36363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.6666666666671,0.0
84,83.66666666666664,110.0,0.7606060606060604,0.5097304790693042,0.29116587985919534,1,6,none,0,2,13306.11111111111,0.8571428571428571,0.9878787878787877,108.66666666666664,178.18181818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.33333333333377,0.0
85,76.33333333333331,110.0,0.6939393939393937,0.5191309446947506,0.2862542202802548,5,5,none,0,2,13480.20202020202,0.5,0.9606060606060604,105.66666666666664,174.09090909090907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.6666666666671,0.0
86,29.3333333333333,110.0,0.2666666666666664,0.5191309446947506,0.2862542202802548,5,6,none,0,2,13657.020202020201,0.5454545454545454,0.9787878787878784,107.66666666666663,176.81818181818176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.6666666666671,0.0
87,107.66666666666663,110.0,0.9787878787878784,0.5191309446947506,0.2862542202802548,0,4,none,0,2,13833.838383838383,1.0,0.9787878787878784,107.66666666666663,176.81818181818176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.66666666666714,0.0
88,55.99999999999996,110.0,0.5090909090909087,0.5191309446947506,0.2862542202802548,5,2,none,0,2,13962.020202020201,0.2857142857142857,0.6545454545454542,71.99999999999996,128.18181818181813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.66666666666714,0.0
89,15.999999999999957,110.0,0.14545454545454506,0.5191309446947506,0.2862542202802548,6,6,none,0,2,14126.11111111111,0.5,0.8939393939393935,98.33333333333329,164.090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.6666666666672,0.0
90,98.33333333333329,110.0,0.8939393939393935,0.5375428064311398,0.29198382679281903,3,7,none,0,2,14303.838383838382,0.7,0.9848484848484844,108.33333333333329,177.72727272727266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.6666666666672,0.0
91,93.66666666666661,110.0,0.851515151515151,0.5375428064311398,0.29198382679281903,3,7,none,0,2,14472.92929292929,0.7,0.9272727272727268,101.99999999999994,169.090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0000000000006,0.0
92,19.6666666666666,110.0,0.1787878787878782,0.5375428064311398,0.29198382679281903,2,1,none,0,2,14597.92929292929,0.3333333333333333,0.6333333333333327,69.6666666666666,124.99999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0000000000006,0.0
93,59.6666666666666,110.0,0.5424242424242418,0.5375428064311398,0.29198382679281903,6,6,none,0,2,14772.474747474744,0.5,0.9636363636363631,105.99999999999994,174.54545454545445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.6666666666672,0.0
94,48.99999999999994,110.0,0.44545454545454494,0.5375428064311398,0.29198382679281903,8,1,none,0,2,14939.747474747472,0.1111111111111111,0.9151515151515145,100.6666666666666,167.27272727272717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.3333333333338,0.0
